link,ph 1,ph2,ph3,ph4,ph5
https://bacdive.dsmz.de/strain/2497,"('Ref.: #23076', 'growth', '6.8-7.6')",,,,
https://bacdive.dsmz.de/strain/2827,"('Ref.: #23077', 'growth', '6.0-8.5')",,,,
https://bacdive.dsmz.de/strain/2936,"('Ref.: #23081', 'growth', '6.0-9.0')",,,,
https://bacdive.dsmz.de/strain/2938,"('Ref.: #23083', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/2954,"('Ref.: #23085', 'optimum', '6.0-7.0')",,,,
https://bacdive.dsmz.de/strain/2982,"('Ref.: #23088', 'optimum', '7.0-7.5')",,,,
https://bacdive.dsmz.de/strain/2983,"('Ref.: #23089', 'optimum', '6.0-7.0')",,,,
https://bacdive.dsmz.de/strain/2984,"('Ref.: #23090', 'optimum', '6.0-7.0')","('Ref.: #23090', 'growth', '5.0-9.0')",,,
https://bacdive.dsmz.de/strain/2986,"('Ref.: #23091', 'growth', '6.0-7.0')",,,,
https://bacdive.dsmz.de/strain/3016,"('Ref.: #23099', 'growth', '5.0-9.0')",,,,
https://bacdive.dsmz.de/strain/3017,"('Ref.: #23100', 'growth', '5.0-9.0')",,,,
https://bacdive.dsmz.de/strain/3018,"('Ref.: #23101', 'growth', '5.0-8.5')",,,,
https://bacdive.dsmz.de/strain/3841,"('Ref.: #23104', 'growth', '5.0-7.5')",,,,
https://bacdive.dsmz.de/strain/491,"('Ref.: #23124', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/492,"('Ref.: #23125', 'optimum', '6.5-7.0')",,,,
https://bacdive.dsmz.de/strain/493,"('Ref.: #23126', 'optimum', '7.0-9.0')",,,,
https://bacdive.dsmz.de/strain/515,"('Ref.: #23129', 'growth', '4.7-7.5')",,,,
https://bacdive.dsmz.de/strain/525,"('Ref.: #23130', 'growth', '4.8-7.8')",,,,
https://bacdive.dsmz.de/strain/528,"('Ref.: #23132', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/1280,"('Ref.: #23141', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/1656,"('Ref.: #23147', 'optimum', '5.0-5.5')","('Ref.: #23147', 'growth', '4.2-7.2')",,,
https://bacdive.dsmz.de/strain/1657,"('Ref.: #23148', 'optimum', '6.0-6.2')","('Ref.: #23148', 'growth', '5.2-7.2')",,,
https://bacdive.dsmz.de/strain/1659,"('Ref.: #23150', 'optimum', '5.5-6.0')",,,,
https://bacdive.dsmz.de/strain/1673,"('Ref.: #23152', 'optimum', '4.5-5.0')","('Ref.: #23152', 'growth', '3.1-6.5')",,,
https://bacdive.dsmz.de/strain/1993,"('Ref.: #23159', 'growth', '5.0-8.0')",,,,
https://bacdive.dsmz.de/strain/2090,"('Ref.: #23168', 'optimum', '3.5-4.0')","('Ref.: #23168', 'growth', '2.3-5.4')",,,
https://bacdive.dsmz.de/strain/3963,"('Ref.: #23205', 'optimum', '6.8-7.0')",,,,
https://bacdive.dsmz.de/strain/4034,"('Ref.: #23206', 'optimum', '9.5-9.7')",,,,
https://bacdive.dsmz.de/strain/4031,"('Ref.: #23207', 'optimum', '7.5-7.6')","('Ref.: #23207', 'growth', '6.3-8.5')",,,
https://bacdive.dsmz.de/strain/4065,"('Ref.: #23210', 'optimum', '8.0-9.0')",,,,
